"WINNER_CLUSTER","LOSER_CLUSTER","SEASON","WIN_COUNT"
0,0,2013,405
0,1,2013,86
0,2,2013,105
0,3,2013,428
0,4,2013,671
1,0,2013,5
1,1,2013,49
1,2,2013,12
1,3,2013,155
1,4,2013,39
2,0,2013,28
2,1,2013,47
2,2,2013,25
2,3,2013,156
2,4,2013,120
3,0,2013,22
3,1,2013,134
3,2,2013,46
3,3,2013,659
3,4,2013,225
4,0,2013,163
4,1,2013,163
4,2,2013,92
4,3,2013,944
4,4,2013,684
0,0,2014,443
0,1,2014,159
0,2,2014,193
0,3,2014,339
0,4,2014,576
1,0,2014,12
1,1,2014,215
1,2,2014,52
1,3,2014,214
1,4,2014,90
2,0,2014,47
2,1,2014,189
2,2,2014,87
2,3,2014,241
2,4,2014,181
3,0,2014,23
3,1,2014,156
3,2,2014,50
3,3,2014,424
3,4,2014,156
4,0,2014,143
4,1,2014,304
4,2,2014,168
4,3,2014,594
4,4,2014,458
0,0,2015,385
0,1,2015,110
0,2,2015,152
0,3,2015,393
0,4,2015,596
1,0,2015,11
1,1,2015,75
1,2,2015,34
1,3,2015,181
1,4,2015,61
2,0,2015,40
2,1,2015,121
2,2,2015,80
2,3,2015,256
2,4,2015,152
3,0,2015,23
3,1,2015,102
3,2,2015,56
3,3,2015,589
3,4,2015,215
4,0,2015,163
4,1,2015,182
4,2,2015,146
4,3,2015,802
4,4,2015,578
0,0,2016,479
0,1,2016,335
0,2,2016,249
0,3,2016,237
0,4,2016,466
1,0,2016,15
1,1,2016,331
1,2,2016,83
1,3,2016,234
1,4,2016,124
2,0,2016,89
2,1,2016,330
2,2,2016,166
2,3,2016,225
2,4,2016,210
3,0,2016,13
3,1,2016,185
3,2,2016,31
3,3,2016,260
3,4,2016,91
4,0,2016,113
4,1,2016,383
4,2,2016,207
4,3,2016,375
4,4,2016,290
0,0,2017,338
0,1,2017,304
0,2,2017,391
0,3,2017,125
0,4,2017,388
1,0,2017,16
1,1,2017,400
1,2,2017,138
1,3,2017,198
1,4,2017,127
2,0,2017,120
2,1,2017,576
2,2,2017,347
2,3,2017,187
2,4,2017,276
3,0,2017,7
3,1,2017,141
3,2,2017,31
3,3,2017,132
3,4,2017,66
4,0,2017,73
4,1,2017,399
4,2,2017,230
4,3,2017,266
4,4,2017,258
0,0,2018,336
0,1,2018,322
0,2,2018,427
0,3,2018,91
0,4,2018,253
1,0,2018,10
1,1,2018,469
1,2,2018,172
1,3,2018,163
1,4,2018,121
2,0,2018,149
2,1,2018,659
2,2,2018,420
2,3,2018,186
2,4,2018,248
3,0,2018,3
3,1,2018,98
3,2,2018,29
3,3,2018,124
3,4,2018,29
4,0,2018,49
4,1,2018,351
4,2,2018,204
4,3,2018,150
4,4,2018,186
0,0,2019,390
0,1,2019,237
0,2,2019,376
0,3,2019,99
0,4,2019,340
1,0,2019,10
1,1,2019,501
1,2,2019,198
1,3,2019,163
1,4,2019,105
2,0,2019,78
2,1,2019,742
2,2,2019,475
2,3,2019,209
2,4,2019,273
3,0,2019,3
3,1,2019,131
3,2,2019,41
3,3,2019,109
3,4,2019,43
4,0,2019,77
4,1,2019,340
4,2,2019,227
4,3,2019,191
4,4,2019,222
0,0,2021,124
0,1,2021,152
0,2,2021,143
0,3,2021,56
0,4,2021,220
1,0,2021,9
1,1,2021,461
1,2,2021,89
1,3,2021,126
1,4,2021,120
2,0,2021,50
2,1,2021,463
2,2,2021,189
2,3,2021,99
2,4,2021,194
3,0,2021,1
3,1,2021,103
3,2,2021,15
3,3,2021,109
3,4,2021,41
4,0,2021,66
4,1,2021,376
4,2,2021,199
4,3,2021,221
4,4,2021,281
0,0,2022,345
0,1,2022,275
0,2,2022,434
0,3,2022,130
0,4,2022,352
1,0,2022,18
1,1,2022,365
1,2,2022,125
1,3,2022,153
1,4,2022,104
2,0,2022,128
2,1,2022,598
2,2,2022,385
2,3,2022,199
2,4,2022,257
3,0,2022,6
3,1,2022,120
3,2,2022,33
3,3,2022,166
3,4,2022,62
4,0,2022,95
4,1,2022,370
4,2,2022,222
4,3,2022,274
4,4,2022,270
0,0,2023,399
0,1,2023,346
0,2,2023,431
0,3,2023,118
0,4,2023,270
1,0,2023,22
1,1,2023,635
1,2,2023,195
1,3,2023,144
1,4,2023,128
2,0,2023,150
2,1,2023,720
2,2,2023,426
2,3,2023,133
2,4,2023,245
3,0,2023,5
3,1,2023,111
3,2,2023,21
3,3,2023,122
3,4,2023,42
4,0,2023,79
4,1,2023,407
4,2,2023,186
4,3,2023,165
4,4,2023,210
